,hs,as,hst,ast,hf,af,hc,ac,hy,ay,b365h,b365d,b365a,hometeam_Arsenal,hometeam_Aston Villa,hometeam_Birmingham,hometeam_Blackburn,hometeam_Blackpool,hometeam_Bolton,hometeam_Bournemouth,hometeam_Brighton,hometeam_Burnley,hometeam_Cardiff,hometeam_Chelsea,hometeam_Crystal Palace,hometeam_Everton,hometeam_Fulham,hometeam_Huddersfield,hometeam_Hull,hometeam_Leeds,hometeam_Leicester,hometeam_Liverpool,hometeam_Man City,hometeam_Man United,hometeam_Middlesbrough,hometeam_Newcastle,hometeam_Norwich,hometeam_QPR,hometeam_Reading,hometeam_Sheffield United,hometeam_Southampton,hometeam_Stoke,hometeam_Sunderland,hometeam_Swansea,hometeam_Tottenham,hometeam_Watford,hometeam_West Brom,hometeam_West Ham,hometeam_Wigan,hometeam_Wolves,awayteam_Arsenal,awayteam_Aston Villa,awayteam_Birmingham,awayteam_Blackburn,awayteam_Blackpool,awayteam_Bolton,awayteam_Bournemouth,awayteam_Brighton,awayteam_Burnley,awayteam_Cardiff,awayteam_Chelsea,awayteam_Crystal Palace,awayteam_Everton,awayteam_Fulham,awayteam_Huddersfield,awayteam_Hull,awayteam_Leeds,awayteam_Leicester,awayteam_Liverpool,awayteam_Man City,awayteam_Man United,awayteam_Middlesbrough,awayteam_Newcastle,awayteam_Norwich,awayteam_QPR,awayteam_Reading,awayteam_Sheffield United,awayteam_Southampton,awayteam_Stoke,awayteam_Sunderland,awayteam_Swansea,awayteam_Tottenham,awayteam_Watford,awayteam_West Brom,awayteam_West Ham,awayteam_Wigan,awayteam_Wolves
0,5.0,13.0,2.0,6.0,12.0,12.0,2.0,3.0,2.0,2.0,6.0,4.33,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21.0,9.0,4.0,7.0,11.0,12.0,4.0,2.0,2.0,0.0,5.25,4.33,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16.0,18.0,7.0,7.0,10.0,8.0,1.0,8.0,2.0,2.0,3.8,3.5,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7.0,10.0,5.0,7.0,13.0,8.0,7.0,3.0,0.0,2.0,5.0,4.0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,21.0,17.0,8.0,10.0,6.0,12.0,4.0,3.0,0.0,1.0,4.0,3.5,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10.0,12.0,6.0,6.0,12.0,5.0,5.0,3.0,2.0,1.0,3.75,3.6,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12.0,6.0,6.0,3.0,7.0,7.0,6.0,7.0,2.0,1.0,6.0,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6.0,7.0,3.0,4.0,14.0,22.0,1.0,4.0,2.0,3.0,4.1,3.9,1.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,16.0,7.0,3.0,2.0,10.0,16.0,6.0,4.0,1.0,2.0,4.75,4.1,1.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,16.0,16.0,2.0,9.0,12.0,7.0,5.0,4.0,0.0,1.0,4.5,4.0,1.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
