team_name,big_chances_per_game,pass_per_match,tackle_success_per_game,cross_accuracy,headed_clearance_per_game,interceptions_per_game,clearances_per_game
Fulham,0.4649122807017544,277.49,0.001280701754385965,0.23,7.175438596491228,9.664912280701754,23.533333333333335
Crystal Palace,0.6616379310344828,236.13,0.0014655172413793104,0.24,9.258620689655173,9.450431034482758,17.575431034482758
Liverpool,0.6708520179372197,271.49,0.0006547085201793722,0.22,4.780269058295964,6.422421524663677,13.376681614349776
West Ham United,0.46764091858037576,208.73,0.0007411273486430062,0.24,7.015657620041754,7.377870563674321,18.346555323590813
West Bromwich Albion,0.7064777327935222,276.7,0.00145748987854251,0.23,9.52834008097166,11.190283400809717,21.635627530364374
Tottenham Hotspur,0.5843806104129264,243.54,0.0006552962298025135,0.22,5.860861759425494,7.2504488330341115,15.781867145421902
Brighton and Hove Albion,1.0986842105263157,428.66,0.0038157894736842103,0.24,11.75,11.552631578947368,21.513157894736842
Sheffield United,0.48484848484848486,205.52,0.003383838383838384,0.22,4.333333333333333,4.91919191919192,14.61111111111111
Everton,0.518850987432675,212.46,0.0006552962298025135,0.23,5.9694793536804305,6.834829443447037,16.494614003590666
Leeds United,0.11857707509881422,36.86,0.001106719367588933,0.21,0.5790513833992095,0.7845849802371542,1.2075098814229248
Manchester United,0.6340807174887892,265.07,0.0006457399103139013,0.23,5.672645739910314,6.943497757847534,14.659192825112108
Arsenal,0.7046678635547576,274.66,0.0006463195691202873,0.21,5.11310592459605,7.648114901256733,13.447935368043089
Southampton,0.5023584905660378,181.08,0.0008254716981132075,0.23,4.696933962264151,5.878537735849057,10.442216981132075
Newcastle United,0.44377510040160645,186.86,0.0007228915662650603,0.22,5.434738955823293,6.825301204819277,14.884538152610443
Chelsea,0.6113105924596051,270.39,0.0006463195691202873,0.23,4.871633752244165,6.429982046678636,12.566427289048473
Leicester City,0.6846689895470384,195.64,0.001167247386759582,0.21,5.905923344947735,6.649825783972125,11.212543554006968
Aston Villa,0.34665334665334663,166.81,0.0007292707292707293,0.24,5.0639360639360635,6.776223776223776,15.395604395604396
Wolverhampton Wanderers,0.8308270676691729,351.94,0.002481203007518797,0.24,8.37593984962406,11.37218045112782,23.127819548872182
Burnley,0.8571428571428571,349.72,0.002481203007518797,0.23,15.503759398496241,12.537593984962406,30.50375939849624
Manchester City,0.9621212121212122,337.42,0.00079004329004329,0.22,5.62987012987013,8.215367965367966,15.936147186147187
AFC Bournemouth,1.2052631578947368,427.32,0.003473684210526316,0.22,13.621052631578948,12.173684210526316,26.44736842105263
Watford,0.7902621722846442,314.37,0.002546816479400749,0.22,8.074906367041198,10.539325842696629,21.93632958801498
Norwich City,0.5310734463276836,212.44,0.002005649717514124,0.24,6.251412429378531,6.799435028248587,16.30225988700565
Huddersfield Town,0.7368421052631579,406.08,0.008421052631578947,0.2,9.68421052631579,13.802631578947368,22.736842105263158
Cardiff City,0.881578947368421,318.86,0.008684210526315789,0.25,15.131578947368421,13.407894736842104,29.55263157894737
Stoke City,0.8526315789473684,336.26,0.0019210526315789473,0.23,13.73421052631579,13.968421052631578,33.742105263157896
Swansea City,1.0263157894736843,487.78,0.002744360902255639,0.22,12.68421052631579,15.56766917293233,29.041353383458645
Hull City,0.42105263157894735,364.69,0.003894736842105263,0.23,14.810526315789474,16.24736842105263,35.12105263157895
Middlesbrough,0.047038327526132406,93.88,0.0013066202090592336,0.23,2.696864111498258,3.3484320557491287,10.547038327526133
Sunderland,0.3717105263157895,221.43,0.0012335526315789473,0.22,7.7417763157894735,10.069078947368421,21.769736842105264
Queens Park Rangers,0.38848920863309355,146.35,0.002697841726618705,0.22,6.374100719424461,6.359712230215828,15.179856115107913
Reading,0.2894736842105263,293.68,0.006491228070175438,0.24,7.2105263157894735,11.307017543859649,36.00877192982456
Wigan Athletic,0.3684210526315789,325.55,0.0024671052631578946,0.24,6.7730263157894735,13.802631578947368,29.782894736842106
Blackburn Rovers,0.13793103448275862,110.0,0.0010775862068965517,0.22,3.1063218390804597,5.127873563218391,13.239942528735632
Bolton Wanderers,0.1680161943319838,147.04,0.0014979757085020243,0.24,4.947368421052632,6.8582995951417,19.11336032388664
Birmingham City,0.15037593984962405,143.63,0.002706766917293233,0.22,5.041353383458647,7.011278195488722,18.43984962406015
Blackpool,1.605263157894737,397.71,0.019736842105263157,0.24,12.473684210526315,11.868421052631579,42.526315789473685
